0,/image/00%E3%81%AE%E3%81%9E%E3%81%BF?1645178249,/wiki/%E3%81%AE%E3%81%9E%E3%81%BF,のぞみ,サポーター,flat,青,目指せステーションマスター♪,2017？年？月？日追加
1,/image/01%E3%82%BB%E3%83%AA%E3%82%A2?1645178249,/wiki/%E9%BB%84%E9%99%BD%E3%82%BB%E3%83%AA%E3%82%A2,黄陽セリア,サポーター,eco,黄,検測開始しま～す?,配信開始時点から実装
2,/image/02%E3%83%A1%E3%83%AD?1645178249,/wiki/%E7%82%BA%E6%A0%97%E3%83%A1%E3%83%AD,為栗メロ,アタッカー,eco,橙,きゃのんぱんち
3,/image/03%E3%83%AB%E3%83%8A?1645178249,/wiki/%E6%96%B0%E9%98%AA%E3%83%AB%E3%83%8A,新阪ルナ,ディフェンダー,cool,紫,ナイトライダー
4,/image/04%E3%81%BF%E3%82%8D%E3%81%8F?1645178249,/wiki/%E6%81%8B%E6%B5%9C%E3%81%BF%E3%82%8D%E3%81%8F,恋浜みろく,トリックスター,heat,赤,ダブルアクセス
5,/image/05%E3%83%AC%E3%82%A4%E3%82%AB?1645178249,/wiki/%E9%BB%84%E9%99%BD%E3%83%AC%E3%82%A4%E3%82%AB,黄陽レイカ,サポーター,heat,桃,起動加速度向上
6,/image/06%E3%82%B7%E3%83%A3%E3%83%AB?1645178249,/wiki/%E3%82%B7%E3%83%A3%E3%83%AB%E3%83%AD%E3%83%83%E3%83%86%EF%BC%9D%E3%83%95%E3%82%A9%E3%83%B3%EF%BC%9D%E3%83%8F%E3%83%8E%E3%83%BC%E3%83%95%E3%82%A1%E3%83%BC,シャルロッテ＝フォン＝ハノーファー,トリックスター,eco,黄,きまぐれアクセス
7,/image/07%E3%82%B7%E3%83%BC%E3%83%8A?1645178249,/wiki/%E5%A4%A7%E6%9C%88%E3%82%B7%E3%83%BC%E3%83%8A,大月シーナ,トリックスター,heat,青,ディファーレ
8,/image/08%E3%81%95%E3%82%84?1645178249,/wiki/%E5%A4%A9%E4%B8%8B%E3%81%95%E3%82%84,天下さや,アタッカー,cool,紫,なし
9,/image/09%E3%82%82%E3%81%88?1645178249,/wiki/%E8%8A%B1%E7%95%91%E3%82%82%E3%81%88,花畑もえ,サポーター,eco,黄,定時メンテナンス
